filename,gap
000001,1.734748679167657
000002,2.3860023154038497
000003,4.4396521679475205
000004,5.154403471528006
000005,3.812044681286415
000006,1.2891500941511727
000007,2.7522056982231544
000008,2.4441028506312663
000009,1.866026782652541
000010,1.5415799528527554
000011,2.715331098741717
000012,2.0601247418606587
000013,2.6074193481144583
000014,6.2155469319672925
000015,0.7007991490368339
000016,3.161459129705116
000017,0.9967447101065467
000018,0.024906775170386197
000019,0.9166960880314154
000020,1.1257963901064443
000021,2.9446017956072756
000022,1.316807804823296
000023,0.4393230591053805
000024,0.0
000025,0.0
000026,0.0
000027,0.0
000028,0.0
000029,2.9145192404726146
000030,0.28871739923054784
000031,2.354057785165126
000032,0.0
000033,2.6384546971857423
000034,1.1937239071608414
000035,0.2870910409180858
000036,0.11720381372281063
000037,0.26285021295659594
000038,0.8974141157497812
000039,0.0
000040,0.2516516734780291
